2020-10-26T17:38:27.023461;AP1;3c:37:86:b9:6a:70;-56;NETGEAR;NETGEAR57
2020-10-26T17:38:27.151523;AP1;76:83:c2:21:ff:77;-63;UNKNOWN;
2020-10-26T17:38:27.158544;AP1;3c:37:86:b9:67:7c;-50;NETGEAR;NETGEAR14
2020-10-26T17:38:27.164678;AP1;3c:37:86:b9:69:3b;-57;NETGEAR;NETGEAR48
2020-10-26T17:38:27.170781;AP1;3c:37:86:b9:6a:70;-57;NETGEAR;NETGEAR57
2020-10-26T17:38:27.173387;AP1;76:83:c2:21:ff:77;-64;UNKNOWN;
2020-10-26T17:38:27.178860;AP1;76:83:c2:21:ff:37;-52;UNKNOWN;
2020-10-26T17:38:27.181834;AP1;3c:37:86:b9:69:3b;-57;NETGEAR;NETGEAR48
2020-10-26T17:38:27.185472;AP1;3c:37:86:87:29:e5;-31;NETGEAR;NETGEAR65
2020-10-26T17:38:27.189861;AP1;3c:37:86:b3:d0:8b;-55;NETGEAR;NETGEAR20
2020-10-26T17:38:27.219071;AP1;3c:37:86:b9:6a:70;-58;NETGEAR;NETGEAR57
2020-10-26T17:38:27.241139;AP1;76:83:c2:21:ff:77;-63;UNKNOWN;
2020-10-26T17:38:27.257941;AP1;3c:37:86:b9:67:7c;-50;NETGEAR;NETGEAR14
2020-10-26T17:38:27.264597;AP1;3c:37:86:b9:69:3b;-56;NETGEAR;NETGEAR48
2020-10-26T17:38:27.267317;AP1;3c:37:86:87:29:e5;-31;NETGEAR;NETGEAR65
2020-10-26T17:38:27.284374;AP1;3c:37:86:b3:d0:8b;-55;NETGEAR;NETGEAR20
2020-10-26T17:38:27.319581;AP1;3c:37:86:b9:6a:70;-57;NETGEAR;NETGEAR57
2020-10-26T17:38:27.364789;AP1;3c:37:86:b9:67:7c;-48;NETGEAR;NETGEAR14
2020-10-26T17:38:27.373782;AP1;3c:37:86:87:29:e5;-31;NETGEAR;NETGEAR65
2020-10-26T17:38:27.388125;AP1;3c:37:86:b3:d0:8b;-55;NETGEAR;NETGEAR20
2020-10-26T17:38:27.428345;AP1;3c:37:86:b9:6a:70;-56;NETGEAR;NETGEAR57
2020-10-26T17:38:27.443412;AP1;76:83:c2:21:ff:77;-64;UNKNOWN;
2020-10-26T17:38:27.472885;AP1;3c:37:86:b9:69:3b;-58;NETGEAR;NETGEAR48
2020-10-26T17:38:27.492335;AP1;3c:37:86:b3:d0:8b;-54;NETGEAR;NETGEAR20
2020-10-26T17:38:27.529539;AP1;3c:37:86:b9:6a:70;-57;NETGEAR;NETGEAR57
