2020-10-17T00:16:11.077241;AP1;5e:b1:c3:bb:b3:41;-38;UNKNOWN;
2020-10-17T00:16:11.294959;AP1;e4:3e:d7:d4:ea:1c;-63;Arcadyan Corporation;
2020-10-17T00:16:13.025447;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:15.259205;AP1;5e:b1:c3:bb:b3:41;-35;UNKNOWN;
2020-10-17T00:16:15.268356;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:15.298972;AP1;5e:b1:c3:bb:b3:41;-36;UNKNOWN;
2020-10-17T00:16:23.267105;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:23.984466;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:24.086314;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:24.188685;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:25.315250;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:28.164670;AP1;5e:b1:c3:bb:b3:41;-38;UNKNOWN;
2020-10-17T00:16:28.267267;AP1;5e:b1:c3:bb:b3:41;-36;UNKNOWN;
2020-10-17T00:16:28.307402;AP1;5e:b1:c3:bb:b3:41;-36;UNKNOWN;
2020-10-17T00:16:29.616012;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:31.050167;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:31.150785;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:31.357635;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:35.509408;AP1;d8:a2:5e:00:8d:96;-70;Apple, Inc.;
2020-10-17T00:16:35.655645;AP1;e4:3e:d7:d4:ea:1c;-70;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:35.864314;AP1;e4:3e:d7:d4:ea:1c;-70;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:35.966035;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:36.887070;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:38.525679;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:38.932831;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:39.037708;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:39.886546;AP1;e4:3e:d7:d4:ea:1c;-70;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:40.174312;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:40.369531;AP1;e4:3e:d7:d4:ea:1c;-70;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:41.375969;AP1;5e:b1:c3:bb:b3:41;-33;UNKNOWN;
2020-10-17T00:16:41.413808;AP1;5e:b1:c3:bb:b3:41;-32;UNKNOWN;
2020-10-17T00:16:44.363857;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:44.670293;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:44.875108;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:45.794847;AP1;e4:3e:d7:d4:ea:1c;-66;Arcadyan Corporation;
2020-10-17T00:16:45.818378;AP1;e4:3e:d7:d4:ea:1c;-66;Arcadyan Corporation;
2020-10-17T00:16:48.767696;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:48.869565;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:49.586575;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:49.894214;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:50.405674;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:50.610116;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:51.737024;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:53.888330;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:54.278882;AP1;5e:b1:c3:bb:b3:41;-33;UNKNOWN;
2020-10-17T00:16:54.318165;AP1;5e:b1:c3:bb:b3:41;-34;UNKNOWN;
2020-10-17T00:16:57.574434;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:16:58.393758;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:01.466070;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:01.857445;AP1;5e:b1:c3:bb:b3:41;-35;UNKNOWN;
2020-10-17T00:17:01.899650;AP1;5e:b1:c3:bb:b3:41;-35;UNKNOWN;
2020-10-17T00:17:05.358296;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:07.405900;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:07.608550;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:07.815721;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:11.193119;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:11.603446;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:11.911779;AP1;e4:3e:d7:d4:ea:1c;-66;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:12.316924;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:12.421414;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:12.524841;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:12.628235;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:14.060930;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:14.163907;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:14.473378;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:14.859728;AP1;5e:b1:c3:bb:b3:41;-30;UNKNOWN;
2020-10-17T00:17:14.901945;AP1;5e:b1:c3:bb:b3:41;-31;UNKNOWN;
2020-10-17T00:17:15.085822;AP1;5e:b1:c3:bb:b3:41;-35;UNKNOWN;
2020-10-17T00:17:20.715584;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:20.819353;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:21.332111;AP1;7c:a7:b0:23:15:72;-72;SHENZHEN BILIAN ELECTRONIC CO.，LTD;
2020-10-17T00:17:21.338246;AP1;7c:a7:b0:23:15:72;-72;SHENZHEN BILIAN ELECTRONIC CO.，LTD;
2020-10-17T00:17:24.098916;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:24.195824;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:24.300820;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:25.630001;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:25.839916;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:26.351894;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:27.870928;AP1;5e:b1:c3:bb:b3:41;-34;UNKNOWN;
2020-10-17T00:17:27.972978;AP1;5e:b1:c3:bb:b3:41;-29;UNKNOWN;
2020-10-17T00:17:28.012342;AP1;5e:b1:c3:bb:b3:41;-30;UNKNOWN;
2020-10-17T00:17:28.190846;AP1;5e:b1:c3:bb:b3:41;-33;UNKNOWN;
2020-10-17T00:17:29.731980;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:30.960201;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:31.262766;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:31.467679;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:32.701390;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:34.848650;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:35.568697;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:36.797666;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:40.074801;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:41.402501;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:43.553402;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:43.659168;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:43.864030;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:43.966403;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:45.195337;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:45.298335;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:47.448488;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:48.881122;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:52.571914;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:54.001695;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:54.105752;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:54.204592;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:55.026091;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:55.334103;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:56.358082;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:17:56.460389;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
